Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Feb-17,EQ,346,349.9,340.15,348.2,345.25,345.1,345.96,385,283.05,"36,98,745","1,27,96,15,426.80","39,185"
31-Jan-17,EQ,349.05,353,343.05,345.65,348.5,348.2,348.73,385,283.05,"1,05,73,672","3,68,73,07,963.00","1,21,857"
30-Jan-17,EQ,323.1,369.95,322.1,323.75,346.4,345.65,349.85,385,283.05,"2,09,46,162","7,32,79,28,572.65","1,78,143"
27-Jan-17,EQ,310.3,328,310.3,311.35,327.55,323.75,319.2,385,282.3,"31,91,346","1,01,86,83,098.25","37,469"
25-Jan-17,EQ,305,314.7,305,316.5,312.3,311.35,309.82,385,282.3,"1,34,56,858","4,16,91,75,948.90","1,45,325"
24-Jan-17,EQ,318,319,314.65,319.65,316.2,316.5,316.21,385,282.3,"21,57,238","68,21,42,148.05","33,873"
23-Jan-17,EQ,321,322,315.4,320.55,319.7,319.65,318.68,385,282.3,"17,89,247","57,01,93,841.65","24,829"
20-Jan-17,EQ,314.05,327.5,314.05,317.1,320.7,320.55,321.95,385,282.3,"34,11,157","1,09,82,32,725.90","40,906"
19-Jan-17,EQ,314,322.6,311,313.9,316.85,317.1,318.19,385,282.3,"22,77,346","72,46,38,450.10","33,472"
18-Jan-17,EQ,318,318.8,311.25,318.5,314,313.9,313.75,385,282.3,"33,07,754","1,03,77,98,084.70","35,368"
17-Jan-17,EQ,318.9,319.8,317.1,318.6,317.8,318.5,318.17,385,282.3,"18,48,476","58,81,22,137.30","22,559"
16-Jan-17,EQ,320,323.4,317.3,320.2,318.05,318.6,319.88,385,282.3,"16,86,878","53,95,91,842.60","40,798"
13-Jan-17,EQ,322.4,325,316,321.8,320.9,320.2,320.65,385,282.3,"23,56,032","75,54,71,350.60","35,221"
12-Jan-17,EQ,323.45,325.35,320,322.75,322,321.8,322.5,385,282.3,"15,14,369","48,83,86,699.40","22,801"
11-Jan-17,EQ,321.1,324.65,318.8,320.1,322.95,322.75,321.95,385,282.3,"23,52,071","75,72,43,131.75","45,769"
10-Jan-17,EQ,319,321,317.05,317.95,319.25,320.1,319.29,385,282.3,"9,53,689","30,45,00,437.55","17,630"
09-Jan-17,EQ,320.6,321.4,316.2,319.75,320,317.95,318.3,385,282.3,"23,74,918","75,59,38,626.45","23,827"
06-Jan-17,EQ,319.15,330,318.3,321.1,320,319.75,322.43,385,282.3,"23,94,583","77,20,89,860.90","39,991"
05-Jan-17,EQ,313.15,323,310.05,313.9,323,321.1,317.63,385,282.3,"38,46,820","1,22,18,53,323.80","49,843"
04-Jan-17,EQ,302.4,315.2,299.15,304.45,313.4,313.9,305.47,385,282.3,"52,05,848","1,59,02,36,921.50","49,622"
03-Jan-17,EQ,311.95,313.95,300,311,300.95,304.45,307.15,385,282.3,"29,61,851","90,97,23,129.40","24,249"
02-Jan-17,EQ,303.1,312,303.1,305.65,310.3,311,309.79,385,282.3,"14,80,996","45,87,99,031.25","20,158"
30-Dec-16,EQ,301.3,307.1,300.1,303,305.65,305.65,302.86,385,282.3,"17,61,999","53,36,35,195.85","44,259"
29-Dec-16,EQ,301.4,304.45,297.5,299.5,304,303,301.65,385,282.3,"32,00,839","96,55,18,473.55","47,226"
